21:19:02.991565 config: drop-rate=0.00, max-delay=0s, seed=1510280342989565800
08:01:45.839324 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.843325 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.843325 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.848325 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.848325 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.853325 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.853325 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.858326 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.858326 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.862326 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.862326 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.868326 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.868326 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.872326 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.873326 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.877327 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.877327 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.882327 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.882327 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.887327 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.887327 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.892327 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.892327 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.896328 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.896328 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.901328 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.901328 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.906328 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.906328 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.911329 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.911329 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.916329 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.916329 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.920329 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.920329 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.925329 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.925329 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.930330 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.930330 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.935330 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.935330 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.939330 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.939330 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.944330 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.944330 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.949331 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.949331 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.954331 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.954331 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.958331 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
08:01:45.959331 [queue=0] packet #1, 192.168.1.100:3000 -> 192.168.1.100:8080, sz=406 is delivered
08:01:45.964332 [queue=0] packet #1, 192.168.1.100:8080 -> 192.168.1.100:3000, sz=406 is delivered
